2015-12-04 16:14:21 startup archives install
2015-12-04 16:14:21 install base-passwd:amd64 <none> 3.5.37
2015-12-04 16:14:21 status half-installed base-passwd:amd64 3.5.37
2015-12-04 16:14:22 status unpacked base-passwd:amd64 3.5.37
2015-12-04 16:14:22 status unpacked base-passwd:amd64 3.5.37
2015-12-04 16:14:22 configure base-passwd:amd64 3.5.37 3.5.37
2015-12-04 16:14:22 status unpacked base-passwd:amd64 3.5.37
2015-12-04 16:14:22 status half-configured base-passwd:amd64 3.5.37
2015-12-04 16:14:22 status installed base-passwd:amd64 3.5.37
2015-12-04 16:14:22 startup archives install
2015-12-04 16:14:22 install base-files:amd64 <none> 7.2ubuntu9
2015-12-04 16:14:22 status half-installed base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 configure base-files:amd64 7.2ubuntu9 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status unpacked base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status half-configured base-files:amd64 7.2ubuntu9
2015-12-04 16:14:23 status installed base-files:amd64 7.2ubuntu9
2015-12-04 16:14:24 startup archives install
2015-12-04 16:14:24 upgrade dpkg 1.17.25ubuntu1 1.17.25ubuntu1
2015-12-04 16:14:24 status half-configured dpkg 1.17.25ubuntu1
2015-12-04 16:14:24 status unpacked dpkg 1.17.25ubuntu1
2015-12-04 16:14:24 status half-installed dpkg 1.17.25ubuntu1
2015-12-04 16:14:25 status half-installed dpkg 1.17.25ubuntu1
2015-12-04 16:14:25 status unpacked dpkg 1.17.25ubuntu1
2015-12-04 16:14:25 status unpacked dpkg 1.17.25ubuntu1
2015-12-04 16:14:25 configure dpkg 1.17.25ubuntu1 1.17.25ubuntu1
2015-12-04 16:14:25 status unpacked dpkg 1.17.25ubuntu1
2015-12-04 16:14:25 status unpacked dpkg 1.17.25ubuntu1
2015-12-04 16:14:25 status unpacked dpkg 1.17.25ubuntu1
2015-12-04 16:14:25 status unpacked dpkg 1.17.25ubuntu1
